id,mnts_gw,date,type,city,city_size,city_class,region,eco,actors_all,actor1,act_type1,people,repert1,site_number,site_type,duration,claim1,direction,target,response,vandalism,violence,international,solidarity,extra,group_name,year,month,company_name,actor2,act_type2,act_fa,act_ip,act_ms,act_opzz,act_znp,act_s80,act_pis,act_sld,act_sr80,act_pip,act_fzz,act_ppp,act_nszzs,act_razem,site_base,repert2,claim2,claim_name
1,1,200401,threat,Kraków,765,voyvodeship,MP,education,NA,NA,nonorganised,NA,nonspecific,0,publicspace,NA,managepolicy,defense,other,NA,n,n,n,n,0,NA,2004,01,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,layoffs,0
2,1,200401,protest,Bytów,170,normal,PM,healthsocial,NA,NA,unionlocal,NA,demonstration,1,company,NA,pension,defense,company,negative,n,n,n,n,0,NA,2004,01,Bytów hospital,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,NA,NOREPERT2,policywork,pension age
3,1,200401,threat,NOTCITY,NOTCITY,NOTCITY,PL,transportpost,NA,NA,unionlocal,NA,strike,1,stateregional,NA,managepersonal,defense,govtcentral,NA,n,n,n,n,0,NA,2004,01,PKP,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
4,5,200401,protest,Poznań,542,voyvodeship,WL,energy,NA,NA,unionlocal,NA,strike,1,infrastructure,NA,wage,offense,company,unclear,n,n,n,n,0,NA,2004,01,Zespół Elektrociepłowni Poznań,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,blockade,NOCLAIM2,0
5,1,200401,protest,Gostyń,20,normal,WL,healthsocial,NA,NA,nonorganised,NA,slowdown,1,statecentral,NA,bankrupcy,offense,govtlocal,NA,n,n,n,n,0,NA,2004,01,Gostyń hospital,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
6,2,200401,threat,Rzeszów,188,voyvodeship,PK,energy,NA,NA,unionlocal,NA,strike,1,company,NA,wage,offense,govtcentral,NA,n,n,n,n,0,NA,2004,01,Rzeszowski Zakład Energetyczny,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
7,2,200401,protest,Warszawa,1754,voyvodeship,MZ,transportpost,NA,NA,unionlocal,NA,demonstration,1,media,timeless,duesalary,offense,govtlocal,positive,n,n,n,n,0,NA,2004,01,PKP,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
8,1,200401,protest,Warszawa,1754,voyvodeship,MZ,education,NA,NA,nonorganised,NA,legal,1,publicspace,h24,wage,offense,govtlocal,unclear,n,n,n,n,0,NA,2004,01,Wyższa Szkoła Handlu i Finansów Międzynarodowych,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
9,1,200401,protest,Łódź,697,voyvodeship,LO,education,NA,NA,nonunion,NA,agitation,1,stateregional,NA,wage,offense,company,positive,n,n,n,n,0,NA,2004,01,NA,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,NOCLAIM2,0
10,1,200401,protest,Bytom,170,normal,SL,mining,NA,NA,unionlocal,20,blockade,1,infrastructure,NA,managepersonal,defense,company,unclear,n,n,n,n,0,NA,2004,01,Centralna Stacja Ratownictwa Górniczego w Bytomiu,NA,NOACT2,n,n,n,n,n,n,n,n,n,n,n,n,n,n,1,NOREPERT2,collagreement,0
